시설명,분류명,체육시설분류,간이운동장 체육시설분류,소유기관,관리주체,시도명,시군구명,동읍면,리,도로명주소,경도,위도,시설면적,수용인원,관람석,관할지자체과,담당자연락처,홈페이지,개방시간,종료시간,휴무일,대중교통안내,
중구회현체육센터 수영장,수영장,공공,,중구,중구시설관리공단,서울,중구,회현동1가,,서울 중구 회현동1가 퇴계로12길 78,126.981634,37.55604,,,,서울특별시 중구시설관리공단,02-2280-8430,e-junggu.or.kr/?code=10&amp;subp=3000_0,6:00,20:30,"공휴일, 일요일 : 09:30 ~ 16:30  (신정, 설날, 추석연휴 휴관)",지하철 -&amp;gt; 4호선 회현역 1번출구로 나와서 남산방면 200m  버스(남대문시장) -&amp;gt; 간선버스: 263 505 604 8002 지선버스: 0013 7011 7013,
중구회현체육센터,생활체육관,공공,,중구,중구시설관리공단,서울,중구,회현동1가,,서울 중구 회현동1가 퇴계로12길 78,126.981634,37.55604,,,,중구시설관리공단,02-2280-8430,e-junggu.or.kr/?code=10&amp;subp=3000_0,6:00,20:30,"공휴일, 일요일 : 09:30 ~ 16:30",지하철-&amp;gt; 4호선 회현역 1번출구로 나와서 200m / 버스-&amp;gt; 간선버스: 263 505 604 8002 지선버스: 0013 7011 7013,
장충리틀 야구장,야구장,공공,,서울시,중부푸른도시사업소(리틀야구연맹위탁),서울,중구,장충동2가,,서울 중구 장충동2가,127.000572,37.554986,0,0,0,중부푸른도시사업소(리틀야구연맹위탁),02-3783-5996,,6:00,18:00,연중무휴,"버스8620(주말맞춤버스), 02, 03, 05  지하철3호선(동대입구), 6호선(약수), 3호선(약수)",
장충 테니스장,,기금,,서울시,중부푸른도시사업소(대한테니스협회위탁),서울,중구,장충동2가,,서울 중구 장충동2가,127.000572,37.554986,,,,서울시시설관리사업소,02-2274-3379,stadium.seoul.go.kr,9:00,18:00,연중무휴,420번/02번/03번/05번  국립극장 하차후 300m,
장충 문화체육센터,생활체육관,공공,,중구,중구시설관리공단,서울,중구,장충동2가,,서울 중구 장충동2가 퇴계로50길 59,127.001326,37.559973,0,0,0,중구시설관리공단,02-3396-4136,e-junggu.or.kr/?code=20&amp;subp=2010_1,6:00,22:00,매월 둘째주 일요일 토.일.공휴일 (09:00~18:00),지하철-&amp;gt; 3호선 동대입구역 1번출구 5분소요,
장충 수영장,수영장,공공,,서울시,중부푸른도시사업소(동국대위탁),서울,중구,장충동2가,,서울 중구 장충동2가 장충단로 101,127.002363,37.554902,0,0,0,중부푸른도시사업소(동국대위탁),02-2260-8981,review.nate.com/view/8401809/desc/2,10:00,18:00,연중무휴,"지하철-&amp;gt; 3호선 동대입구역 하차, 버스 17, 63-1, 154 이용 장충수영장 하차.",
석호정(남산공원),국궁장,공공,,서울시,중부푸른도시사업소(국궁문화협회위탁),서울,중구,장충동2가,,서울 중구 장충동2가,127.000572,37.554986,,,,중부푸른도시사업소(국궁문화협회위탁),02-2273-2061,cafe.daum.net/SUKHOJUNG,9:00,18:00,연중무휴,지하철-&amp;gt; 3호선 동대입구 하차 마을버스2번 이용 국립극장 다음 정류장 하차 오른쪽 산책로 300미터 / 버스-&amp;gt; 420 국립극장에서 하차-국립극장 내 별오름극장 뒷편 산쪽계단이용,
장충 체육관,구기체육관,공공,,서울시,위탁(동원엔터프라이즈),서울,중구,장충동2가,,서울 중구 장충동2가 동호로 241,127.006678,37.558643,0,0,0,동원엔터프라이즈,02-2236-4197,jangchunggym.co.kr,6:00,22:00,연중무휴,"버스(Bus) : 0212(자선버스), 144(간선버스), 301(간선버스), 9410(광역버스) 지하철(Subway) : 3호선 동대입구 5번출구 (Line 3 Dongkuk University, EXIT NO.5)",
무학봉 체육관,구기체육관,공공,,중구,중구시설관리공단,서울,중구,신당동,,서울 중구 신당동,127.013652,37.557902,0,0,0,중구시설관리공단,02-3396-4133,e-junggu.or.kr/?code=10&amp;subp=2010_1,6:00,22:00,"설, 추석","지하철-&amp;gt; 2호선 신당역 3번,4번출구 / 버스-&amp;gt; 금호아파트(오뚜기마트)하차 간선버스 241번 , 지선버스 1번",
남산타운 문화체육센터,생활체육관,공공,,중구,중구시설관리공단,서울,중구,신당동,,서울 중구 신당동 다산로 32,127.005581,37.547128,0,0,0,중구시설관리공단,02-2280-8500,e-junggu.or.kr/?code=20&amp;subp=4010_1,6:00,22:00,헬스-매월 둘째 일요일 휴관 (월1회),"지하철-&amp;gt; 3,6호선 약수역 5번출구에서 서울방송고등학교 방향 도보5분거리(남산타운아파트단지내)",
충무아트홀 스포츠센터수영장,수영장,공공,,중구,중구시설관리공단,서울,중구,흥인동,,서울 중구 흥인동 퇴계로 387,127.014792,37.565948,0,0,0,중구시설관리공단,02-2230-6776,e-junggu.or.kr/?code=10&amp;subp=1010_1,6:00,21:55,매월 둘째주 일요일 휴관,"지하철-&amp;gt; 6호선 신당역 9번출입구로 나와서 동대문운동장방향으로 50M, 2호선 신당역 1번출입구로 나와서 동대문운동장방향으로 150M, 2호선,4호선,5호선 동대문운동장역 2번출입구로 나와서 신당사거리 방향으로 300M / 버스-&amp;gt; 간선버스: 142 147 263 302 371번 탑승후 신당동4거리에서하차, 지선버스: 1017 2012 2014 2233 0211번 탑승후 신당동4거리에서하차",
충무아트홀 스포츠센터,생활체육관,공공,,중구,중구시설관리공단,서울,중구,흥인동,,서울 중구 흥인동 퇴계로 387,127.014792,37.565948,0,0,0,중구시설관리공단,02-2230-6776,e-junggu.or.kr/?code=10&amp;subp=1010_1,6:00,21:55,매월 둘째주 일요일은 휴관입니다. 토요일 06:00~19:55 공휴일 : 09:30~17:55,"지하철-&amp;gt; 6호선 신당역 9번출입구로 나와서 동대문운동장방향으로 50M, 2호선 신당역 1번출입구로 나와서 동대문운동장방향으로 150M, 2호선,4호선,5호선 동대문운동장역 2번출입구로 나와서 신당사거리 방향으로 300M / 버스-&amp;gt; 간선버스: 142 147 263 302 371번 탑승후 신당동4거리에서하차, 지선버스: 1017 2012 2014 2233 0211번 탑승후 신당동4거리에서하차",
충무아트홀 스포츠센터 골프연습장,골프연습장,공공,,중구,중구시설관리공단,서울,중구,흥인동,,서울 중구 흥인동 퇴계로 387,127.014792,37.565948,0,0,0,중구시설관리공단,02-2230-6777,e-junggu.or.kr/?code=10&amp;subp=1010_1,6:00,21:55,매월 둘째주 일요일은 휴관입니다. 토요일 : 06:00~19:55 공휴일 : 09:30~17:55,"지하철-&amp;gt; 6호선 신당역 9번출입구로 나와서 동대문운동장방향으로 50M, 2호선 신당역 1번출입구로 나와서 동대문운동장방향으로 150M, 2호선,4호선,5호선 동대문운동장역 2번출입구로 나와서 신당사거리 방향으로 300M / 버스-&amp;gt; 간선버스: 142 147 263 302 371번 탑승후 신당동4거리에서하차, 지선버스: 1017 2012 2014 2233 0211번 탑승후 신당동4거리에서하차",
손기정문화체육센터,생활체육관,공공,,중구청,서울특별시중구시설관리공단,서울,중구,만리동2가,,서울 중구 만리동2가 손기정로 101,126.963946,37.554618,0,0,0,서울특별시중구시설관리공단,02-2280-8390,e-junggu.or.kr/?code=20&amp;subp=1010_1,6:00,22:00,"매월 둘째주 일요일, 법정 공휴일","지하철-&amp;gt; 2,5호선 충정로역 5번출구 삼성사이버아파트 손기정체육공원방향 8분 / 버스-&amp;gt; 16번마을버스손기정공원또는(구)양정고등학교)하차, 261, 263, 604(손기정체육공원하차)",
손기정문화체육센터 골프연습장,골프연습장,공공,,중구,서울특별시중구시설관리공단,서울,중구,만리동2가,,서울 중구 만리동2가 손기정로 101,126.964858,37.554854,0,0,0,서울특별시중구시설관리공단,02-2280-8390,e-junggu.or.kr/?code=20&amp;subp=1010_1,6:00,22:00,"매월 둘째주 일요일, 법정 공휴일","지하철-&amp;gt; 2,5호선 충정로역 5번출구 삼성사이버아파트 손기정체육공원방향 8분 / 버스-&amp;gt; 16번마을버스손기정공원또는(구)양정고등학교)하차, 261, 263, 604(손기정체육공원)하차",
손기정 체육공원 테니스장,테니스장,공공,,중구,위탁(중구테니스연합회),서울,중구,만리동2가,,서울 중구 만리동2가 손기정로 101,126.964858,37.554854,0,0,0,학교법인 양정의숙과,02-313-7985,tour.junggu.seoul.kr/tour/index.jsp,9:00,18:00,연중무휴,"지하철-&amp;gt;경의선 서울역5번출구,2호선,5호선충정로역5번출구/버스-&amp;gt;만리시장입구: 0016 아현역.북아현동가구거리: 602 603 700 7011 7017 707 751 172 270 271 아현초등학교: 160 260 7013A 7013B 7611 만리동고개: 163 261 263 604 굴레방다리: 171 273 472 721 마포경찰서: 6015",
손기정 체육공원 인조잔디축구장,축구장,공공,,중구,위탁(중구생활체육회),서울,중구,만리동2가,,서울 중구 만리동2가 손기정로 101,126.964858,37.554854,0,0,0,위탁(중구생활체육회),02-3396-4173,tour.junggu.seoul.kr/tour/index.jsp,7:30,16:00,연중무휴,"지하철-&amp;gt;경의선 서울역5번출구,2호선,5호선충정로역5번출구/버스-&amp;gt;만리시장입구: 0016 아현역.북아현동가구거리: 602 603 700 7011 7017 707 751 172 270 271 아현초등학교: 160 260 7013A 7013B 7611 만리동고개: 163 261 263 604 굴레방다리: 171 273 472 721 마포경찰서: 6015",
갈월종합사회복지관 수영장,수영장,공공,,용산구,위탁(순천향대학교병원),서울,용산구,갈월동,,서울 용산구 갈월동 두텁바위로 25,126.974824,37.545774,0,0,0,순천향대학교병원,02-752-7887,galwol.or.kr/home/progaram01.php,6:00,23:00,"일요일, 공휴일, 근로자의 날은 정기휴관입니다.","지하철: 4호선 숙대입구 전철역 (2번출구로 나와 도보 5분 소요) 버   스: 751, 752, 1711, 0014, 0015, 150, 162, 401, 402, 404, 406, 605, 0013, 0211",
갈월종합사회복지관체육관,생활체육관,공공,,용산구,위탁(순천향대학교병원),서울,용산구,갈월동,,서울 용산구 갈월동 두텁바위로 25,126.974824,37.545774,0,0,0,순천향대학교병원,02-752-7887,galwol.or.kr/i.php,6:00,23:00,"일요일, 공휴일, 근로자의 날은 정기휴관입니다.","지하철: 4호선 숙대입구 전철역 (2번출구로 나와 도보 5분 소요)  버   스: 751, 752, 1711, 0014, 0015, 150, 162, 401, 402, 404, 406, 605, 0013, 0211",
한강시민공원 이촌지구,,간이,고수부지,,,서울,용산구,원효로4가,,서울 용산구,126.95108,37.530434,0,0,0,한강관리사업소 이촌지구,3780-0553,,,,,,
효창종합사회복지관 수영장,수영장,공공,,용산구,위탁(순천향대학교 서울병원),서울,용산구,효창동,,서울 용산구 효창동 효창원로 146-12,126.963017,37.541227,0,0,0,사회복지법인 용산상회원,02-716-0600,hyochang.or.kr/culture_biz/life_education.php,6:00,23:00,공휴일 매주일요일,"*지하철 지하철6호선 효창공원앞 역 하차 2번출구 효창운동장 방면 도보로 5분거리 *버스 일반버스:0015,0016번 효창동사무소 하차 일반버스:110,730번 용마사거리(효창공원앞역)하차",
효창근린공원,,간이,도시공원,,,서울,용산구,효창동,,서울 용산구 효창동 효창원로 177-18,126.962273,37.544949,0,0,0,공원녹지과,2199-7590,,,,,,
효창근린공원,,간이,도시공원,,,서울,용산구,효창동,,서울 용산구 효창동 효창원로 177-18,126.962273,37.544949,0,0,0,공원녹지과,2199-7590,,,,,,
효창 운동장,축구장,공공,,서울시,서울시축구협회,서울,용산구,효창동,,서울 용산구 효창동 효창원로 177-15,126.961866,37.544171,0,20000,15267,서울시축구협회,02-713-1410,http://stadium.seoul.go.kr/intro/intro_04_03_05.html,5:00,22:00,연중무휴,6호선효창공원앞역1번출구,
효창근린공원,,간이,도시공원,,,서울,용산구,효창동,,서울 용산구 효창동 효창원로 177-18,126.962273,37.544949,0,0,0,공원녹지과,2199-7590,,,,,,
효창종합사회복지관 체육관,생활체육관,공공,,용산구,위탁(사회복지법인용산상희원),서울,용산구,효창동,,서울 용산구 효창동 효창원로 146-12,126.963017,37.541227,0,0,0,사회복지법인 용산상희원,02-716-0600,hyochang.or.kr/main/main.php,6:00,23:00,공휴일 매주일요일,"*지하철 지하철6호선 효창공원앞 역 하차 2번출구 효창운동장 방면 도보로 5분거리 *버스 일반버스:0015,0016번 효창동사무소 하차 일반버스:110,730번 용마사거리(효창공원앞역)하차",
효창근린공원,,간이,도시공원,,,서울,용산구,효창동,,서울 용산구 효창동 효창원로 177-18,126.962273,37.544949,0,0,0,공원녹지과,2199-7590,,,,,,
효창근린공원,,간이,도시공원,,,서울,용산구,효창동,,서울 용산구 효창동 효창원로 177-18,126.962273,37.544949,0,0,0,공원녹지과,2199-7590,,,,,,
용산 문화체육센터,생활체육관,공공,,용산구,용산구시설관리공단,서울,용산구,문배동,,서울 용산구 문배동 백범로 350,126.711908,37.465409,0,0,0,용산구시설관리공단,02-707-2494,yongsangu-sc.or.kr/main/,6:00,23:00,"공휴일 매월 첫째,셋째주,다섯째주 일요일 휴관","*지하철  - 4호선 삼각지역 6번출구 5분거리  - 6호선 삼각지역 8번출구 5분거리, 효창공원앞역 3번출구 10분거리  - 1호선 남영역 1번출구 5분거리  *간선버스 : 110, 162, 262, 503(신계대림아파트, 원효로우체국), 740(용산구보건소)  *지선버스 :  0018(용산구보건소), 1711, 7016(신계대림아파트, 원효로우체국)   *마을버스  용산 02 후암동 - 용산구청(용산등기소)   용산 03 하얏트 호텔 - 용산역(용산등기소)   용산 04 서울역 - 신계대림아파트",
용산문화체육센터 수영장,수영장,공공,,용산구,용산구시설관리공단,서울,용산구,문배동,,서울 용산구 문배동 백범로 350,126.711908,37.465409,0,0,0,용산구시설관리공단,02-707-2492,yongsangu-sc.or.kr/main/,6:00,23:00,"공휴일 매월 첫째,셋째주,다섯째 일요일 휴관","*지하철  - 4호선 삼각지역 6번출구 5분거리  - 6호선 삼각지역 8번출구 5분거리, 효창공원앞역 3번출구 10분거리  - 1호선 남영역 1번출구 5분거리  *간선버스 : 110, 162, 262, 503(신계대림아파트, 원효로우체국), 740(용산구보건소)  *지선버스 :  0018(용산구보건소), 1711, 7016(신계대림아파트, 원효로우체국)   *마을버스  용산 02 후암동 - 용산구청(용산등기소)   용산 03 하얏트 호텔 - 용산역(용산등기소)   용산 04 서울역 - 신계대림아파트",
한강시민공원이촌지구 축구장2,축구장,공공,,서울시,한강사업본부,서울,용산구,이촌동,,서울 용산구 이촌동 이촌로72길 62,126.97078,37.517832,0,0,0,이촌안내센터,02-3780-0551,hangang.seoul.go.kr/park_yeechon/index.html,7:00,18:00,연중무휴,"*버스 한강맨션 앞(250m):405, 149, 6211 이촌역 앞: 405, 149, 6211 *지하철 1,4호선 이촌역 4번출구(500m), 1호선 서빙고역(100m) 노들섬:1호선 용산역 및 신용산역 한강대교 쪽 1,000m",
용산청소년수련관,생활체육관,공공,,용산구,용산구시설관리공단,서울,용산구,이촌동,,서울 용산구 이촌동 이촌로71길 24,126.973258,37.521339,,0,0,용산구시설관리공단,02-749-0102,youthpool.or.kr/main/,6:00,22:00,"둘째주, 넷째주 일요일 휴무","*지하철 : 1, 4호선 이촌역 4번출구 앞.  *버스 : 청색 149, 502, 405번 이촌역 하차  초록색 6211번 이촌역 하차",
한강시민공원이촌지구 축구장,축구장,공공,,서울시,한강사업본부,서울,용산구,이촌동,,서울 용산구 이촌동 이촌로72길 62,126.97078,37.517832,0,0,0,이촌안내센터,02-3780-0551,hangang.seoul.go.kr/park_yeechon/index.html,7:00,18:00,연중무휴,"*버스 한강맨션 앞(250m):405, 149, 6211 이촌역 앞: 405, 149, 6211 *지하철 1,4호선 이촌역 4번출구(500m), 1호선 서빙고역(100m) 노들섬:1호선 용산역 및 신용산역 한강대교 쪽 1,000m",
한강시민공원이촌지구 테니스장,테니스장,공공,,서울시,한강사업본부,서울,용산구,이촌동,,서울 용산구 이촌동 이촌로72길 62,126.97078,37.517832,0,0,0,한강사업본부,02-794-6610,hangang.seoul.go.kr/park_yeechon/,6:00,18:00,연중무휴,"*버스 한강맨션 앞(250m):405,149,6211 이촌역앞:405,149,6211 *지하철 1,4호선 이촌역 4번출구, 1호선 서빙고역 노들섬-1호선 용산역 및 신용산역 한강대교 쪽 1,000m",
한강공원 이촌지구 롤러스케이트장(1991),롤러스케이트장,공공,,서울시,한강사업본부,서울,용산구,이촌동,,서울 용산구 이촌동 이촌로72길 62,126.97078,37.517832,,,,한강사업본부,02-790-6385,hangang.seoul.go.kr/park_yeechon/,6:00,18:00,연중무휴,"지하철-&amp;gt;1,4호선 이촌역 4번 출구(500m), 1호선 서빙고역(100m)/버스-&amp;gt;이촌역: 0213 502 이촌동한강맨션.이촌역: 149 405 6211 동부이촌동: 6030",
한강시민공원이촌지구 축구교육장,축구장,공공,,서울시,한강사업본부,서울,용산구,이촌동,,서울 용산구 이촌동 이촌로72길 62,126.97078,37.517832,0,0,0,(사)차범근축구교실,02-795-8049,hangang.seoul.go.kr/park_yeechon/index.html,13:00,18:00,토요일 오전 9시 ~ 오후 6시 일요일 오전 9시 ~ 오전11시 목요일 휴일,"*버스 한강맨션 앞(250m):405, 149, 6211 이촌역 앞: 405, 149, 6211 *지하철 1,4호선 이촌역 4번출구(500m), 1호선 서빙고역(100m) 노들섬:1호선 용산역 및 신용산역 한강대교 쪽 1,000m",
용산청소년수련관 수영장,수영장,공공,,용산구,용산구시설관리공단,서울,용산구,이촌동,,서울 용산구 이촌동 이촌로71길 24,126.973258,37.521339,0,0,0,용산구시설관리공단,02-749-0102,youthpool.or.kr/main/?skin=121110,6:00,22:00,"둘째주, 넷째주 일요일 휴관","*지하철 : 1, 4호선 이촌역 4번출구 앞.  *버스 : 청색 149, 502, 405번 이촌역 하차  초록색 6211번 이촌역 하차",
한강공원 이촌지구 롤러스케이트장(1998),롤러스케이트장,공공,,서울시,한강사업본부,서울,용산구,이촌동,,서울 용산구 이촌동 이촌로72길 62,126.966516,37.517444,,,,한강사업본부,02-790-6385,hangang.seoul.go.kr/park_yeechon,9:00,19:00,연중무휴,"*버스  한강맨션 앞(250m):405, 149, 6211  이촌역 앞: 405, 149, 6211  *지하철  1,4호선 이촌역 4번출구(500m), 1호선 서빙고역(100m)  노들섬:1호선 용산역 및 신용산역 한강대교 쪽 1,000m",
응봉 근린공원한남구민 테니스장,테니스장,공공,,서울시,용산구(민간위탁),서울,용산구,한남동,,서울 용산구 한남동 다산로 8-11,127.004255,37.54559,0,0,0,용산구(민간위탁),02-2199-7600,,6:00,22:00,연중무휴,버스-&amp;gt;약수동사거리: 142 6211 동호터널입구: 147 301 신금호역: 2233 7212,
응봉 근린공원한남 테니스장,테니스장,공공,,서울시,용산구(민간위탁),서울,용산구,한남동,,서울 용산구 한남동 다산로 8-11,127.004255,37.54559,0,0,0,용산구(민간위탁),02-2199-7600,yongsan.go.kr/site/if/index.jsp?sitecdv=S0001401,6:00,22:00,연중무휴,버스-&amp;gt;약수동사거리: 142 6211 동호터널입구: 147 301 신금호역: 2233 7212,
마장동 체육공원,테니스장,공공,,성동구,성동구 도시관리공단,서울,성동구,마장동,,서울 성동구 마장동,127.041041,37.551021,0,0,0,성동구 도시관리공단,02-2204-7632,www.sdmc.go.kr/sports/mj_t_center/intro.asp,8:00,19:00,"설날, 추석 당일 휴무 *계절적 요인 등으로 운영시간은    변경될 수 있습니다.","*지하철 이용시 -지하철 5호선: 마장역 1.4번 출구, 왕십리역 5번 출구 SH VILL 아파트 방향 -지하철 2호선: 왕십리역 6번출구에서  SH VILL 아파트 방향 _국 철: 13번 출구에서  SH VILL 아파트 방향  *버스 이용시 -지선버스:410번 성동 노인복지관 또는 한양사대부고 앞에서 하차 -마을버스:3번,8번 왕십리 민자역사에서 하차 후  SH VILL 아파트 방향",
마장 국민체육센터,생활체육관,공공,,서울특별시,성동구도시관리공단,서울,성동구,마장동,,서울 성동구 마장동 마조로11길 6,127.040791,37.562132,0,0,0,성동구도시관리공단,02-2204-7640,www.sdmc.go.kr/sports/mjcenter/intro.asp,6:00,22:00,매월 3째주 일요일이 정기 휴관일입니다.또한 국경일등 법정 공휴일에도 휴관을 합니다.,"지하철 이용시  지하철 중앙선, 2호선, 5호선 왕십리역 6번출구 2분거리 지하철 2호선 한양대입구역 8분거리 지하철 5호선 마장역 5분거리  시내버스 이용시  263번, 2220번 : 한양여중고 하차",
마장국민체육센터 수영장,수영장,공공,,서울특별시,성동구도시관리공단,서울,성동구,마장동,,서울 성동구 마장동 마조로11길 6,127.040791,37.562132,0,0,0,성동구도시관리공단,02-2204-7630,www.sdmc.go.kr/sports/mjcenter/intro.asp,6:00,22:00,매월 3째주 일요일이 정기 휴관일입니다. 또한 국경일등 법정 공휴일에도 휴관을 합니다.,"지하철-&amp;gt;2호선선 왕십리역 6번출구 2분거리, 2호선 한양대입구역 8분거리, 5호선 마장역 5분거리 / 버스-&amp;gt; 한양여중고 하차: 263번 2220번",
살곶이 체육공원 축구장,축구장,공공,,국토해양부(국유지),성동구,서울,성동구,사근동,,서울 성동구 사근동,127.046183,37.554344,0,0,0,성동구 치수방재과,02-2286-6090,sd.go.kr/tour/mapguide.do?themeCode=007000,9:00,18:00,연중무휴,지하철-&amp;gt;2호선 한양대앞 3번 출구로 하차 - 약 70m 직진 - 좌회전 - 약 120m 직진 - 길 건넌 후 살곶이공원 방향 약 40m 직진 - 살곶이다리 도착 / 버스-&amp;gt; 리버하우스 302 2012A 2222 2013/상원 302 2013 2012A 2222/성동교남단 410 2014/성수2가3동주민센터 302 2013 2012A 2222,
성동청소년수련관 수영장,수영장,공공,,서울시,위탁(서울가톨릭청소년회),서울,성동구,행당동,,서울 성동구 행당동 고산자로 270,127.036957,37.563442,0,0,0,서울가톨릭청소년회,02-2296-4062,sdyc.or.kr,6:00,22:00,"국정공휴일, 정기휴장일 31일","지하철-&amp;gt; 국철, 2, 5호선 왕십리역 하차 3, 4번 출구 마장동쪽으로 100m (성동종합행정마을내) / 버스-&amp;gt; 파랑(간선)버스 : 110번, 141번, 145번, 263번, 371번, 302번, 초록(지선)버스 : 2번, 3번, 8번, 9번, 2411번, 2012번, 2013번,2014번, 2220번, 2222번, 0013번, 0211번, 1411번",
